Embedding_dim_1,Embedding_dim_2,Label
1.0,1.0,0.0
1.2,1.0,0.0
0.8,1.1,0.0
0.9154253972707405,0.9133515293608708,0.0
1.3835119812124266,1.5370402104889331,0.0
1.080606320674959,1.1850370355938913,0.0
1.096934223712715,1.0088765769285912,0.0
0.6865189486870096,1.3768758762346365,0.0
1.2789856436034241,1.0768055384424438,0.0
0.9330204559643045,0.8710489569636953,0.0
0.7815335658691508,1.2297411314715174,0.0
1.332409963996867,0.8751551953060362,0.0
1.3501436095417474,1.1071788935315015,0.0
2.4,2.5,1.0
2.9,2.7,1.0
2.7,2.8,1.0
2.6,2.8,1.0
2.2851372259586378,2.56191033524382,1.0
2.3053210206171793,2.9470176235558756,1.0
2.9045729600317465,2.655650165327952,1.0
2.5287476667573574,2.2827554692374465,1.0
2.5901769232769243,2.5018972076863855,1.0
2.3338272340057715,2.3312864048961135,1.0
2.821759584933966,2.5366627596451243,1.0
3.212635327052276,2.923317122505922,1.0
2.4055533043022512,2.8118353071345252,1.0
2.8288682756992847,2.3104082723102084,1.0
2.3577661531703553,2.5490489640981804,1.0
2.7217762633331786,3.098955309675954,1.0
2.735301575205366,2.3705245691324226,1.0
2.843037085094263,2.5550636882179423,1.0
2.250922511966175,2.610547002145082,1.0
2.531043271949689,2.280780415293637,1.0
2.5818445678447395,2.800776288413313,1.0
2.4357443083472043,2.8294077356619924,1.0
2.5164297090492864,2.13419872578811,1.0
2.2206949883456364,2.4459360197141233,1.0
0.0,6.5,2.0
0.2,6.2,2.0
0.021735304297351155,6.647862899780055,2.0
0.1043751548267835,6.177535556058101,2.0
0.19034716624087755,6.661332011502932,2.0
0.30869108301324827,6.3065248996332,2.0
0.5714008219474617,6.0935238473773685,2.0
0.16818090840992378,6.227744621333427,2.0
-0.3036436085791354,6.195414846218591,2.0
-0.24273171327118293,6.482702937770812,2.0
-0.07282124131748875,6.607876161238111,2.0
-0.20985062956318182,6.510693367633314,2.0
5.0,0.0,2.0
4.2,0.1,2.0
5.402845357598844,-0.13243633339380678,2.0
4.86207374866192,0.10118709745783427,2.0
4.929910683193961,-0.12274746854035867,2.0
4.384780507774164,0.4211930035880779,2.0
5.269192803850319,0.3084448440181386,2.0
4.009001199369456,0.29604496801730795,2.0
3.98054568151036,0.315594587764486,2.0
4.277899936020563,0.1784726526766985,2.0
4.1972960198126845,-0.14013464442766796,2.0
4.328282878124052,0.028302558887298712,2.0
1.0,1.2,0.0
0.5,0.8,0.0
1.9,0.75,0.0
3.0,2.0,1.0
3.05,3.1,1.0
1.9,3.45,1.0
0.15,2.87,2.0
0.3,5.0,2.0
0.65,3.95,2.0
3.05,0.0,2.0
2.75,-1.0,2.0
5.95,-0.1,2.0
